date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,elo_home,elo_away,diferencia_elo,resultado,puntos_home,puntos_away,dif_goles_home,dif_goles_away,peso_torneo
1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False,1997.0,2003.0,-6.0,D,1,1,0.0,0.0,1
1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,False,2014.0,1986.0,28.0,H,3,0,2.0,-2.0,1
1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False,1994.0,2006.0,-12.0,H,3,0,1.0,-1.0,1
1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False,2003.0,1997.0,6.0,D,1,1,0.0,0.0,1
1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False,2010.0,1990.0,20.0,H,3,0,3.0,-3.0,1
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,False,2011.0,1499.0,512.0,H,3,0,4.0,-4.0,1
1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False,1990.0,2011.0,-21.0,A,0,3,-2.0,2.0,1
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,False,1499.0,2011.0,-512.0,A,0,3,-2.0,2.0,1
1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,False,2011.0,1990.0,21.0,H,3,0,5.0,-5.0,1
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,False,2011.0,1499.0,512.0,H,3,0,9.0,-9.0,1
1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False,1990.0,1499.0,491.0,H,3,0,1.0,-1.0,1
1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,False,1990.0,2011.0,-21.0,H,3,0,1.0,-1.0,1
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,1499.0,2011.0,-512.0,A,0,3,-3.0,3.0,1
1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,False,2011.0,1990.0,21.0,H,3,0,1.0,-1.0,1
1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False,1499.0,1990.0,-491.0,A,0,3,-1.0,1.0,1
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,False,2011.0,1499.0,512.0,H,3,0,4.0,-4.0,1
1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False,1990.0,1499.0,491.0,A,0,3,-1.0,1.0,1
1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,False,1990.0,2011.0,-21.0,A,0,3,-5.0,5.0,1
1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wrexham,Wales,False,1499.0,2011.0,-512.0,A,0,3,-4.0,4.0,1
1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,False,2011.0,1990.0,21.0,H,3,0,4.0,-4.0,1
1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,False,1511.0,1990.0,-479.0,H,3,0,2.0,-2.0,1
1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Glasgow,Scotland,False,2011.0,1511.0,500.0,H,3,0,5.0,-5.0,1
1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,False,1990.0,1511.0,479.0,H,3,0,5.0,-5.0,1
1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False,1901.0,2011.0,-110.0,A,0,3,-1.0,1.0,1
1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,False,1511.0,2011.0,-500.0,A,0,3,-3.0,3.0,1
1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Glasgow,Scotland,False,2011.0,1898.0,113.0,H,3,0,1.0,-1.0,5
1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wrexham,Wales,False,1511.0,1898.0,-387.0,A,0,3,-4.0,4.0,5
1884-03-29,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,False,2011.0,1511.0,500.0,H,3,0,3.0,-3.0,5
1885-03-14,England,Wales,1.0,1.0,British Home Championship,Blackburn,England,False,1898.0,1511.0,387.0,D,1,1,0.0,0.0,5
1885-03-21,England,Scotland,1.0,1.0,British Home Championship,London,England,False,1898.0,2011.0,-113.0,D,1,1,0.0,0.0,5
1885-03-23,Wales,Scotland,1.0,8.0,British Home Championship,Wrexham,Wales,False,1511.0,2011.0,-500.0,A,0,3,-7.0,7.0,5
1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False,2011.0,1898.0,113.0,D,1,1,0.0,0.0,5
1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False,1566.0,1898.0,-332.0,A,0,3,-2.0,2.0,5
1886-04-10,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,False,2011.0,1566.0,445.0,H,3,0,3.0,-3.0,5
1887-02-26,England,Wales,4.0,0.0,British Home Championship,London,England,False,1925.0,1566.0,359.0,H,3,0,4.0,-4.0,5
1887-03-19,England,Scotland,2.0,3.0,British Home Championship,Blackburn,England,False,1925.0,2083.0,-158.0,A,0,3,-1.0,1.0,5
1887-03-21,Wales,Scotland,0.0,2.0,British Home Championship,Wrexham,Wales,False,1566.0,2083.0,-517.0,A,0,3,-2.0,2.0,5
1888-02-04,England,Wales,5.0,1.0,British Home Championship,Crewe,England,False,1925.0,1566.0,359.0,H,3,0,4.0,-4.0,5
1888-03-10,Scotland,Wales,5.0,1.0,British Home Championship,Edinburgh,Scotland,False,2083.0,1566.0,517.0,H,3,0,4.0,-4.0,5
1888-03-17,Scotland,England,0.0,5.0,British Home Championship,Glasgow,Scotland,False,2083.0,1925.0,158.0,A,0,3,-5.0,5.0,5
1889-02-23,England,Wales,4.0,1.0,British Home Championship,Stoke-on-Trent,England,False,1986.0,1566.0,420.0,H,3,0,3.0,-3.0,5
1889-04-13,England,Scotland,2.0,3.0,British Home Championship,London,England,False,1986.0,2083.0,-97.0,A,0,3,-1.0,1.0,5
1889-04-15,Wales,Scotland,0.0,0.0,British Home Championship,Wrexham,Wales,False,1566.0,2083.0,-517.0,D,1,1,0.0,0.0,5
1890-03-15,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False,1547.0,1986.0,-439.0,A,0,3,-2.0,2.0,5
1890-03-22,Scotland,Wales,5.0,0.0,British Home Championship,Paisley,Scotland,False,2083.0,1547.0,536.0,H,3,0,5.0,-5.0,5
1890-04-05,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False,2049.0,1986.0,63.0,D,1,1,0.0,0.0,5
1891-03-07,England,Wales,4.0,1.0,British Home Championship,Sunderland,England,False,1986.0,1547.0,439.0,H,3,0,3.0,-3.0,5
1891-03-21,Wales,Scotland,3.0,4.0,British Home Championship,Wrexham,Wales,False,1547.0,2049.0,-502.0,A,0,3,-1.0,1.0,5
1891-04-04,England,Scotland,2.0,1.0,British Home Championship,Blackburn,England,False,1986.0,2043.0,-57.0,H,3,0,1.0,-1.0,5
1892-03-05,Wales,England,0.0,2.0,British Home Championship,Wrexham,Wales,False,1547.0,1986.0,-439.0,A,0,3,-2.0,2.0,5
1892-03-26,Scotland,Wales,6.0,1.0,British Home Championship,Edinburgh,Scotland,False,2043.0,1547.0,496.0,H,3,0,5.0,-5.0,5
1892-04-02,Scotland,England,1.0,4.0,British Home Championship,Glasgow,Scotland,False,2043.0,1986.0,57.0,A,0,3,-3.0,3.0,5
1893-03-13,England,Wales,6.0,0.0,British Home Championship,Stoke-on-Trent,England,False,1986.0,1547.0,439.0,H,3,0,6.0,-6.0,5
1893-03-18,Wales,Scotland,0.0,8.0,British Home Championship,Wrexham,Wales,False,1547.0,2043.0,-496.0,A,0,3,-8.0,8.0,5
1893-04-01,England,Scotland,5.0,2.0,British Home Championship,Richmond,England,False,1986.0,1991.0,-5.0,H,3,0,3.0,-3.0,5
1894-03-12,Wales,England,1.0,5.0,British Home Championship,Wrexham,Wales,False,1439.0,1986.0,-547.0,A,0,3,-4.0,4.0,5
1894-03-24,Scotland,Wales,5.0,2.0,British Home Championship,Kilmarnock,Scotland,False,1991.0,1439.0,552.0,H,3,0,3.0,-3.0,5
1894-04-07,Scotland,England,2.0,2.0,British Home Championship,Glasgow,Scotland,False,1991.0,1986.0,5.0,D,1,1,0.0,0.0,5
1895-03-18,England,Wales,1.0,1.0,British Home Championship,London,England,False,1986.0,1439.0,547.0,D,1,1,0.0,0.0,5
1895-03-23,Wales,Scotland,2.0,2.0,British Home Championship,Wrexham,Wales,False,1439.0,1991.0,-552.0,D,1,1,0.0,0.0,5
1895-04-06,England,Scotland,3.0,0.0,British Home Championship,Liverpool,England,False,1986.0,1991.0,-5.0,H,3,0,3.0,-3.0,5
1896-03-16,Wales,England,1.0,9.0,British Home Championship,Cardiff,Wales,False,1439.0,2066.0,-627.0,A,0,3,-8.0,8.0,5
1896-03-21,Scotland,Wales,4.0,0.0,British Home Championship,Dundee,Scotland,False,1991.0,1439.0,552.0,H,3,0,4.0,-4.0,5
1896-04-04,Scotland,England,2.0,1.0,British Home Championship,Glasgow,Scotland,False,1991.0,2066.0,-75.0,H,3,0,1.0,-1.0,5
1897-03-20,Wales,Scotland,2.0,2.0,British Home Championship,Wrexham,Wales,False,1439.0,1991.0,-552.0,D,1,1,0.0,0.0,5
1897-03-29,England,Wales,4.0,0.0,British Home Championship,Sheffield,England,False,2050.0,1439.0,611.0,H,3,0,4.0,-4.0,5
1897-04-03,England,Scotland,1.0,2.0,British Home Championship,London,England,False,2050.0,1991.0,59.0,A,0,3,-1.0,1.0,5
1898-03-19,Scotland,Wales,5.0,2.0,British Home Championship,Motherwell,Scotland,False,1991.0,1439.0,552.0,H,3,0,3.0,-3.0,5
1898-03-28,Wales,England,0.0,3.0,British Home Championship,Wrexham,Wales,False,1439.0,2050.0,-611.0,A,0,3,-3.0,3.0,5
1898-04-02,Scotland,England,1.0,3.0,British Home Championship,Glasgow,Scotland,False,1991.0,2050.0,-59.0,A,0,3,-2.0,2.0,5
1899-03-18,Wales,Scotland,0.0,6.0,British Home Championship,Wrexham,Wales,False,1439.0,1991.0,-552.0,A,0,3,-6.0,6.0,5
1899-03-20,England,Wales,4.0,0.0,British Home Championship,Bristol,England,False,2050.0,1439.0,611.0,H,3,0,4.0,-4.0,5
1899-04-08,England,Scotland,2.0,1.0,British Home Championship,Birmingham,England,False,2050.0,1991.0,59.0,H,3,0,1.0,-1.0,5
1900-02-03,Scotland,Wales,5.0,2.0,British Home Championship,Aberdeen,Scotland,False,1991.0,1439.0,552.0,H,3,0,3.0,-3.0,5
1900-03-26,Wales,England,1.0,1.0,British Home Championship,Cardiff,Wales,False,1439.0,2050.0,-611.0,D,1,1,0.0,0.0,5
1900-04-07,Scotland,England,4.0,1.0,British Home Championship,Glasgow,Scotland,False,1991.0,2050.0,-59.0,H,3,0,3.0,-3.0,5
1901-03-02,Wales,Scotland,1.0,1.0,British Home Championship,Wrexham,Wales,False,1439.0,1991.0,-552.0,D,1,1,0.0,0.0,5
1901-03-18,England,Wales,6.0,0.0,British Home Championship,Newcastle,England,False,2050.0,1439.0,611.0,H,3,0,6.0,-6.0,5
1901-03-30,England,Scotland,2.0,2.0,British Home Championship,London,England,False,2050.0,1991.0,59.0,D,1,1,0.0,0.0,5
1902-03-03,Wales,England,0.0,0.0,British Home Championship,Wrexham,Wales,False,1476.0,2050.0,-574.0,D,1,1,0.0,0.0,5
1902-03-15,Scotland,Wales,5.0,1.0,British Home Championship,Greenock,Scotland,False,1991.0,1476.0,515.0,H,3,0,4.0,-4.0,5
1902-05-03,England,Scotland,2.0,2.0,British Home Championship,Birmingham,England,False,2050.0,1991.0,59.0,D,1,1,0.0,0.0,5
1903-03-02,England,Wales,2.0,1.0,British Home Championship,Portsmouth,England,False,2050.0,1476.0,574.0,H,3,0,1.0,-1.0,5
1903-03-09,Wales,Scotland,0.0,1.0,British Home Championship,Cardiff,Wales,False,1476.0,1991.0,-515.0,A,0,3,-1.0,1.0,5
1903-04-04,England,Scotland,1.0,2.0,British Home Championship,Sheffield,England,False,2050.0,1991.0,59.0,A,0,3,-1.0,1.0,5
1904-02-29,Wales,England,2.0,2.0,British Home Championship,Wrexham,Wales,False,1476.0,2050.0,-574.0,D,1,1,0.0,0.0,5
1904-03-12,Scotland,Wales,1.0,1.0,British Home Championship,Dundee,Scotland,False,1991.0,1476.0,515.0,D,1,1,0.0,0.0,5
1904-04-09,Scotland,England,0.0,1.0,British Home Championship,Glasgow,Scotland,False,1991.0,2050.0,-59.0,A,0,3,-1.0,1.0,5
1905-03-06,Wales,Scotland,3.0,1.0,British Home Championship,Wrexham,Wales,False,1476.0,1991.0,-515.0,H,3,0,2.0,-2.0,5
1905-03-27,England,Wales,3.0,1.0,British Home Championship,Liverpool,England,False,2050.0,1476.0,574.0,H,3,0,2.0,-2.0,5
1905-04-01,England,Scotland,1.0,0.0,British Home Championship,London,England,False,2050.0,1991.0,59.0,H,3,0,1.0,-1.0,5
1906-03-03,Scotland,Wales,0.0,2.0,British Home Championship,Edinburgh,Scotland,False,1991.0,1476.0,515.0,A,0,3,-2.0,2.0,5
1906-03-19,Wales,England,0.0,1.0,British Home Championship,Cardiff,Wales,False,1476.0,2050.0,-574.0,A,0,3,-1.0,1.0,5
